Name;URL;Author;Price;Number of Ratings;Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo;https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Jill Twiss;$11.91;4,982;4.9 out of 5 stars
True Roots: A Mindful Kitchen with More Than 100 Recipes Free of Gluten, Dairy, and Refined Sugar;https://www.amazon.com/True-Roots-Mindful-Kitchen-Recipes/dp/1623369169?_encoding=UTF8&psc=1;Kristin Cavallari;$15.59;23;4.7 out of 5 stars
The Confidence Code for Girls: Taking Risks, Messing Up, and Becoming Your Amazingly Imperfect, Totally Powerful Self;https://www.amazon.com/Confidence-Code-Girls-Amazingly-Imperfect/dp/0062796984?_encoding=UTF8&psc=1;Katty Kay;$9.87;6;5.0 out of 5 stars
12 Rules for Life: An Antidote to Chaos;https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.57;1,810;4.7 out of 5 stars
Ready Player One: A Novel;https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1;Ernest Cline;$8.79;16,690;4.6 out of 5 stars
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think;https://www.amazon.com/Factfulness-Reasons-World-Things-Better/dp/1250107814?_encoding=UTF8&psc=1;Hans Rosling;$18.29;2;5.0 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life;https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1;Mark Manson;$14.99;3,329;4.4 out of 5 stars
The Rational Bible: Exodus;https://www.amazon.com/Rational-Bible-Exodus-Dennis-Prager/dp/1621577724?_encoding=UTF8&psc=1;Dennis Prager;$20.99;39;4.7 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering;https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1;Joanna Gaines;$17.99;Not available;Not available
The 5 Love Languages: The Secret to Love that Lasts;https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1;Gary Chapman;$9.59;12,666;4.8 out of 5 stars
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be;https://www.amazon.com/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;Rachel Hollis;$13.79;1,191;4.9 out of 5 stars
A Higher Loyalty: Truth, Lies, and Leadership;https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;James Comey;$15.99;Not available;Not available
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer;https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1;Michelle McNamara;$16.79;216;4.6 out of 5 stars
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life;https://www.amazon.com/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1;Jen Sincero;$9.60;3,391;4.6 out of 5 stars
Little Fires Everywhere;https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1;Celeste Ng;$15.28;2,202;4.4 out of 5 stars
Killing the Deep State: The Fight to Save President Trump;https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;Jerome R. Corsi;$17.99;437;4.7 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;Amy Ramos;$8.24;708;4.2 out of 5 stars
First 100 Words;https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1;Roger Priddy;$4.14;7,826;4.6 out of 5 stars
Does It Fart?: The Definitive Field Guide to Animal Flatulence;https://www.amazon.com/Does-Fart-Definitive-Animal-Flatulence/dp/0316484156?_encoding=UTF8&psc=1;Nick Caruso;$10.65;6;4.4 out of 5 stars
